CHARACTER	KARLGREN	KARLGRENCODE	XIESHENG	PINYIN	MCH
䕩	1151	v	橑	lǎo	lawX
䖒	0022	a	虍	xī	xje
䖟	0742	s	?	mǎng	maeng
䗽	0575	h'	?	wèi	ywijH
䘒	0468	g'	?	zuī	tswoj
䘳	0652	d	金	jīn	kim
䜌	0178	a	䜌	luán	lwan
䜭	0466	a	?	jùn	swinH
䞓	0831	x	巠	chēng	trhjeng
䟏	1125	l	樂	lì	syak
䟒	0158	q	雚	quán	gjwen
䠓	1096	z	?	qiū	tshjuwk
䠞	1031	u	?	cù	tsjuwk
䠣	0433	e	㢲	xuǎn	sjwenH
䠱	1224	x	?	zhú	drjowk
䠶	0807	b	䠶	shè	zyek
䠶	0807	b	䠶	shè	yek
䠶	0807	b	䠶	shè	zyaeH
䡅	0462	b	川	chūn	trhwin
䡈	1167	m	爻	jué	kaewk
䡝	0260	p	宛	yuān	'jwon
䡝	0260	p	宛	yuān	'jun
䢅	0455	i	辰	chén	dzyin
䢅	0455	i	辰	chén	zyin
䢔	0675	e	合	hé	hop
䢦	0498	e	率	shuài	swrit
䢱	1023	o	??	dú	duwk
䣄	0082	q	余	tú	zjo
䦱	0027	f	爲	wěi	hjweX
䧅	0551	h	?	yí	yij
䧹	0890	a	?	yīng	'ing
䩜	1079	l	?	zhòu	drjuwH
䩦	1077	g	?	tiáo	dew
䩵	0458	f	軍	yùn	xjwonH
䩵	0458	f	軍	yùn	hjunH
䪅	1224	l	?	dú	tsyowk
䪅	1224	l	?	dú	dzyowk
䪡	0554	j	?	!(䪡)	tsej
䫀	0416	-	?	gěn	konX
䫌	0874	n	卑	pǐ	phejX
䭫	0552	i	旨	qǐ	khejX
䰞	0045	n	者	zhǔ	tsyoX
䱷	0079	m	?	yú	ngjo
䲨	1172	l	工	hóng	huwng
䳄	0358	g	?	cí	tshje
䳡	0575	e	?	yàn	tsywij
䳭	0923	d	?	jí	tsjek
䳭	0923	d	?	jí	tsik
䴠	1141	k	?	yǎo	'awX
䵒	0404	g	日	nì	nrit
䵼	0727	a'	?	shāng	syang
一	0394	a	一	yī	'jit
丁	0833	a	丁	dīng	teng
丁	0833	a	丁	dīng	treang
丂	1041	a	丂	kǎo	khawX
七	0400	a	七	qī	tshit
丈	0722	a	丈	zhàng	drjangX
三	0648	a	三	sān	sam
三	0648	a	三	sān	samH
上	0726	a	𠄞	shàng	dzyangX
上	0726	a	𠄞	shàng	dzyangH
下	0035	a	??	xià	haeH
下	0035	a	??	xià	haeX
不	0999	a	不	bù	pjuw
不	0999	a	不	bù	pjuwX
丏	0247	a	丏	miǎn	menX
丑	1076	a	丑	chǒu	trhjuwX
且	0046	a	且	qiě	tshjaeX
且	0046	a	且	qiě	tsjo
且	0046	a	且	qiě	tshjo
丕	0999	k	不	pī	phij
世	0339	a	世	shì	syejH
丘	0994	a	丠	qiū	khjuw
丙	0757	a	丙	bǐng	pjaengX
丞	0896	g	丞	chéng	dzying
並	0840	b	竝	bìng	bengX
丩	1064	a	丩	jiū	kjiwX
丩	1064	a	丩	jiū	kjiw
个	0349	a	固	gè	kanH
个	0349	a	固	gè	kaH
中	1007	a	中	zhōng	trjuwng
中	1007	a	中	zhōng	trjuwngH
丮	0786	a	𠃨	jǐ	kjaek
丰	1197	a	丰	fēng	phjowng
丱	0187	a	卝	guàn	kwaenH
串	0159	e	串	chuàn	kwaenH
丸	0163	a	丸	wán	hwan
丹	0150	a	丹	dān	tan
