CHARACTER	KARLGREN	KARLGRENCODE	XIESHENG	PINYIN	MCH
彊	0710	e	畺	jiàng	kjang
彊	0710	e	畺	jiàng	gjangX
彌	0359	m	爾	mí	mjie
彌	0359	m	爾	mí	mjieX
彔	1208	a	𢑗	lù	luwk
彖	0171	a	彖	tuàn	thwanH
彗	0527	a	彗	huì	zwijH
彗	0527	a	彗	huì	zjwejH
彘	0334	a	矢	zhì	drjejH
彙	0524	a	胃	huì	hjwɨjH
彝	1237	c	彝	yí	yij
彠	0784	f	蒦	yuē	'jwak
彡	1008	c	彡	shān	yuwng
形	0808	d	开	xíng	heng
彤	1008	e	彡	tóng	dung
彥	0199	a	厂	yàn	ngjenH
彧	0929	y	?	yù	'juwk
彩	0942	a	采	cǎi	tshojX
彪	1106	a	彪	biāo	pjiw
彫	1083	r	周	diāo	tew
彬	0474	c	棼	bīn	pin
彭	0750	a	彭	péng	baeng
彭	0750	a	彭	péng	pang
彭	0750	a	彭	péng	bang
彰	0723	e	章	zhāng	tsyang
影	0756	a	景	yǐng	'jaengX
彶	0681	d	及	jí	kip
彷	0740	e'	方	fǎng	bang
役	0851	a	役	yì	ywek
彼	0025	g	皮	bǐ	pjeX
彿	0500	i	弗	fú	phjut
往	0739	k	𡉚	wǎng	hjwangX
征	0833	o	壬	zhēng	tsyeng
徂	0046	i'	且	cú	dzu
待	0961	g'	寺	dài	dojX
徇	0392	e	旬	xùn	zwin
徇	0392	e	旬	xùn	zwinH
很	0416	e	𥃩	hěn	honX
徉	0732	f	?	yáng	yang
徊	0542	d	回	huái	hwoj
律	0502	c	聿	lǜ	lwit
後	0115	a	后	hòu	huwX
後	0115	a	后	hòu	huwH
徐	0082	-	余	xú	zjo
徑	0831	f	巠	jìng	kengH
徒	0062	e	土	tú	du
得	0905	d	䙷	dé	tok
徘	0579	t	非	pái	bwoj
徙	0871	a	止	xǐ	sjeX
從	1191	d	𨑢	cóng	dzjowngH
從	1191	d	𨑢	cóng	tshjowng
從	1191	d	𨑢	cóng	dzjowng
從	1191	d	𨑢	cóng	tsjowng
從	1191	d	𨑢	cóng	tsuwngX
徠	0944	f	來	lái	loj
御	0060	l	卸	yù	ngjoH
徧	0246	b	扁	biàn	penH
徨	0708	d	皇	huáng	hwang
復	1034	d	𡕨	fù	bjuwH
復	1034	d	𡕨	fù	bjuwk
循	0465	f	盾	xún	zwin
徬	0740	o'	㫄	páng	bang
徭	1144	e	䍃	yáo	yew
微	0584	d	𣁋	wēi	mjɨj
徯	0876	i	奚	xī	hejX
徵	0891	a	壬	zhēng	dring
徵	0891	a	壬	zhēng	tring
徵	0891	a	壬	zhēng	triX
德	0919	k	𢛳	dé	tok
徹	0286	c	徹	chè	trhjet
徹	0286	c	徹	chè	drjet
徼	1162	d	敫	jiǎo	kew
徼	1162	d	敫	jiǎo	kewH
徽	0584	h	微	huī	xjwɨj
心	0663	a	心	xīn	sim
必	0405	a	必	bì	pjit
忉	1131	c	?	dāo	taw
忌	0953	s	己	jì	kiH
忌	0953	s	己	jì	giH
忍	0456	c	刃	rěn	nyinX
忒	0918	g	弋	tè	thok
忓	0139	e	干	gān	kan
忕	0317	i	大	shì	dzyejH
忖	0431	d	寸	cǔn	tshwonX
志	0962	e	士	zhì	tsyiH
忘	0742	i	亾	wàng	mjang
忘	0742	i	亾	wàng	mjangH
忙	0742	o	亾	máng	mang
忝	1247	c	天	tiǎn	themX
忝	1247	c	天	tiǎn	themH
忞	0475	m	文	mín	min
忠	1007	k	中	zhōng	trjuwng
忡	1007	n	中	chōng	trhjuwng
忤	0060	g	午	wǔ	nguH
忨	0257	j	元	wàn	ngwan
忨	0257	j	元	wàn	ngwanH
快	0312	k	叏	kuài	khwaejH
忮	0864	d	支	zhì	tsyeH
忱	0656	h	冘	chén	dzyim
忳	0427	d	?	tún	dwon
念	0670	a	今	niàn	nemH
忸	1076	k	丑	niǔ	nrjuwk
忻	0443	j	斤	xīn	xjɨn
忼	0698	d	亢	kāng	khangH
忼	0698	d	亢	kāng	khangX
忽	0503	l	勿	hū	xwot
忿	0471	g	分	fèn	phjunX
忿	0471	g	分	fèn	phjunH
怊	1131	i	召	chāo	trhjew
怊	1131	i	召	chāo	tsyhew
怍	0806	r	乍	zuò	dzak
怏	0718	d	央	yàng	'jangX
怏	0718	d	央	yàng	'jangH
怐	0108	j	句	jù	khuw
怒	0094	a'	奴	nù	nuX
怒	0094	a'	奴	nù	nuH
怓	1244	j	奴	náo	nraew
怕	0782	l	百	pà	phaeH
怕	0782	l	百	pà	phaek
怖	0102	m	布	bù	phuH
怗	0618	h	?	tiē	tsyhem
怗	0618	h	?	tiē	thep
怛	0149	g	旦	dá	tat
思	0973	a	𦥓	sī	soj
思	0973	a	𦥓	sī	si
思	0973	a	𦥓	sī	siH
怠	0976	k'	台	dài	dojX
怡	0976	u	台	yí	yi
急	0681	g	及	jí	kip
怦	0825	f	平	pēng	pheang
性	0812	s	生	xìng	sjengH
怨	0260	c	夗	yuàn	'jwon
怨	0260	c	夗	yuàn	'jwonH
怩	0563	b	尼	ní	nrij
怪	0991	a	圣	guài	kweajH
怫	0500	o	弗	fú	bjɨjH
怫	0500	o	弗	fú	bjut
怭	0405	d	?	bì	bjit
怯	0642	j	去	qiè	khjaep
怱	1199	d	囱	cōng	tshuwng
怲	0757	g	丙	bǐng	pjaengX
怲	0757	g	丙	bǐng	pjaengH
怴	1257	m	?	xù	xjwit
怵	0497	h	朮	chù	trhwit
恀	0003	h	?	shì	tseyX
恁	0667	q	任	nèn	nyim
恂	0392	k	旬	xún	swinH
恂	0392	k	旬	xún	swin
恃	0961	y	寺	shì	dzyiX
恆	0881	d	𢛢	héng	hong
恈	1110	b	?	móu	mjuw
恌	1145	i	?	tiāo	thew
恍	0706	j	光	huǎng	xwangX
恐	1172	d'	𢀜	kǒng	khjowngX
恑	0029	e	危	guǐ	kjweX
恔	1166	q	交	jiǎo	haewH
恕	0094	t	如	shù	syoH
恙	0732	g	羊	yàng	yangH
恚	0879	m	圭	huì	'jwieH
恢	0950	b	灰	huī	khwoj
恣	0555	f	次	zì	tsijH
恤	0410	e	血	xù	swit
恥	0959	a	耳	chǐ	trhiX
恨	0416	f	𥃩	hèn	honH
恩	0370	j	因	ēn	'on
恪	0766	g	各	kè	khak
恫	1176	k	同	dòng	thuwng
恫	1176	k	同	dòng	thuwngH
恬	0621	b	㐁	tián	dem
恭	1182	l	共	gōng	kuwng
恭	1182	l	共	gōng	kjowng
息	0925	a	息	xī	sik
悁	0228	c	肙	yuān	'jwien
悃	0420	c	困	kǔn	khwonX
悄	1149	s	肖	qiāo	tshjewX
悅	0324	o	兌	yuè	ywet
悆	0082	g	余	yù	yoH
悉	1257	e	釆	xī	sit
悊	0287	d	㪿	zhé	trjet
悌	0591	f	弟	tì	dejH
悍	0139	h'	旱	hàn	hanH
悐	0856	e	狄	tì	thek
悒	0683	f	邑	yì	'ip
悔	0947	s	毎	huǐ	xwojH
悔	0947	s	毎	huǐ	xwojX
悕	0549	b	?	xī	xjɨj
悖	0491	d	孛	bèi	bwot
悖	0491	d	孛	bèi	bwojH
悗	0222	e	免	mán	mwonX
悗	0222	e	免	mán	man
悚	1222	m	束	sǒng	sjowngX
悛	0468	c'	夋	quān	tshjwen
悞	0059	e	?	wù	nguH
悟	0058	j	吾	wù	nguH
悠	1077	c	攸	yōu	yuw
患	0159	f	串	huàn	hwaenH
悤	1199	c	囱	cōng	tshuwng
悱	0579	h	非	fěi	phjɨjX
悲	0579	u	非	bēi	pij
悴	0490	j	卒	cuì	dzwijH
悵	0721	l	長	chàng	trhjangH
悶	0441	d	門	mèn	mwon
悷	0532	b	?	sàn	lejH
悸	0538	e	季	jì	gjwijH
悼	1126	l	卓	dào	dawH
悽	0592	e	妻	qī	tshej
悾	1172	z	?	kōng	khaewng
悾	1172	z	?	kōng	khuwng
悾	1172	z	?	kōng	khuwngH
惀	0470	g	侖	lún	lwin
惀	0470	g	侖	lún	lwonX
惄	1031	p	叔	nì	nek
情	0812	l'	靑	qíng	dzjeng
惆	1083	k	周	chóu	trhjuw
惇	0464	n	𦎧	dūn	tsywin
惌	0260	h	?	yuān	'jwonX
惎	0952	c'	其	jì	giH
惏	0655	j	林	lán	lom
惑	0929	q	或	huò	hwok
惔	0617	k	炎	tán	dam
惕	0850	i	易	tì	thek
惘	0742	b'	罔	wǎng	mjangX
惙	0295	d	叕	chuò	trjwet
惚	0503	p	忽	hū	xwot
惛	0457	n	昏	hūn	xwon
惜	0798	f	㫺	xī	sjek
惝	0725	l	?	chǎng	tsyhangX
惟	0575	n	隹	wéi	ywij
惠	0533	a	惠	huì	hwejH
惡	0805	h	亞	è	'u
惡	0805	h	亞	è	'uH
惡	0805	h	亞	è	'ak
惰	0011	l	隋	duò	dwaH
惰	0011	l	隋	duò	dwaX
想	0731	d	相	xiǎng	sjangX
惴	0168	o	耑	zhuì	tsyweH
惴	0168	o	耑	zhuì	tsyhwenX
惶	0708	-	皇	huáng	hwang
惷	0463	c	萅	chǔn	tsyhwinX
惸	0830	a	?	qióng	gjwieng
惻	0906	e	則	cè	tsrhik
惼	0246	f	?	biǎn	pjienX
惽	0457	o	?	mǐn	xwon
惾	1177	b	?	zōng	tsuwng
愀	1092	j	秋	qiǎo	tshjewX
愀	1092	j	秋	qiǎo	dzjuwX
愁	1092	i	秌	chóu	dzrjuw
愃	0164	y	宣	xuān	xjwonX
愅	0931	c	?	gé	keak
愆	0197	b	衍	qiān	khjen
愈	0125	d	兪	yù	yuX
愉	0125	f	兪	yú	yu
愍	0457	z	敃	mǐn	minX
愎	1034	k	复	bì	bik
意	0957	a	?	yì	'iH
愒	0313	s	曷	kài	khjejH
愒	0313	s	曷	kài	khjet
愒	0313	s	曷	kài	khajH
愓	0720	e'	昜	dàng	syang
愓	0720	e'	昜	dàng	dangX
愔	0653	c	?	yīn	'jim
愕	0788	h	咢	è	ngak
愙	0766	p'	客	kè	khak
愚	0124	g	禺	yú	ngju
愛	0508	a	??	ài	'ojH
愜	0630	n	?	qiè	khep
感	0671	l	咸	gǎn	komX
愧	0569	l	鬼	kuì	kwijH
愨	1226	b	𣪊	què	khaewk
愬	0769	b	朔	sù	suH
愴	0703	m	倉	chuàng	tsrhjangH
愵	1123	c	弱	nì	nek
愷	0548	c	豈	kǎi	khojX
愻	0434	f	孫	xùn	swonH
愾	0517	d	氣	kài	xjɨjH
愿	0258	d	原	yuàn	ngjwonH
慁	0425	c	圂	hùn	hwonH
慄	0403	d	㮚	lì	lit
慅	1112	e	蚤	sāo	saw
慅	1112	e	蚤	sāo	tshawX
慅	1112	e	蚤	sāo	sawX
慆	1078	b	舀	tāo	thaw
慇	0448	e	殷	yīn	'jɨn
慈	0966	j	茲	cí	dzi
慉	1018	e	畜	xù	xjuwk
慊	0627	d	兼	qiàn	khep
慊	0627	d	兼	qiàn	khemX
態	0885	f	態	tài	thojH
慌	0742	g'	荒	huāng	xwangX
慍	0426	e	𥁕	yùn	'junH
慎	0375	i	眞	shèn	dzyinH
慕	0802	h	莫	mù	muH
慘	0647	e	參	cǎn	tshomX
慙	0611	c	斬	cán	dzam
慝	0777	o	匿	tè	thok
慟	1188	n	動	tòng	duwngH
慢	0266	h	曼	màn	manH
慢	0266	h	曼	màn	maenH
慣	0159	d	貫	guàn	kwaenH
慤	1226	c	?	què	khaewk
慥	1051	d	造	zào	tshawH
慧	0527	d	彗	huì	hwejH
慨	0515	n	旣	kǎi	khojH
慬	0480	v	?	qín	gjɨn
慮	0069	f	虍	lǜ	ljoH
慰	0525	d	尉	wèi	'jwɨjH
慱	0231	o	專	tuán	dwan
慴	0690	h	習	shè	tsyep
慶	0753	a	慶	qìng	khjaengH
慷	0746	m	康	kāng	khangX
慹	0685	h	𡙕	zhí	nep
慹	0685	h	𡙕	zhí	tsyip
慹	0685	h	𡙕	zhí	tsyep
慼	1031	x	?	qī	tshek
慾	1202	e	欲	yù	yowk
憂	1071	a	𢝊	yōu	'juw
憃	1192	d	舂	chōng	trhjowngH
憃	1192	d	舂	chōng	trhaewng
憃	1192	d	舂	chōng	syowng
憊	0984	h	僃	bèi	beajH
憋	0341	l	?	biē	phjiet
憍	1138	i	?	jiāo	kjew
憎	0884	d	曾	zēng	tsong
憐	0387	l	㷠	lián	len
憑	0899	e	馮	píng	bing
憒	0540	c	䝿	kuì	kwojH
憔	1148	h	焦	qiáo	dzjew
憖	1251	b	猌	yìn	nginH
憗	1251	c	?	yìn	nginH
憘	0955	d	?	xǐ	xiX
憚	0147	o	單	dàn	danH
憝	0464	u	𣀦	duì	dwojH
憤	0437	n	賁	fèn	bjunX
憧	1188	b'	童	chōng	draewngH
憧	1188	b'	童	chōng	tsyhowng
憩	0329	a	曷	qì	khjejH
憫	0475	s	閔	mǐn	minX
憬	0755	h	景	jǐng	kjwaengX
憭	1151	m	尞	liǎo	lew
憮	0103	j	無	wǔ	mjuX
憮	0103	j	無	wǔ	xu
憯	0660	e	朁	cǎn	tshomX
憰	0507	m	矞	jué	kwet
憲	0250	a	害	xiàn	xjonH
憶	0957	f	意	yì	'ik
憸	0613	b	僉	xiān	sjem
憸	0613	b	僉	xiān	tshjem
憸	0613	b	僉	xiān	tshjemX
憺	0619	m	詹	dàn	damX
憺	0619	m	詹	dàn	damH
憼	0813	i	敬	jǐng	gjaengX
憼	0813	i	敬	jǐng	kjiengX
憼	0813	i	敬	jǐng	kjaengX
憾	0671	p	感	hàn	homH
懁	0256	x	睘	xuān	xjwien
懁	0256	x	睘	xuān	xwenH
懁	0256	x	睘	xuān	hwaen
懃	0480	y	勤	qín	gjɨn
懆	1134	l	喿	cǎo	tshawX
懈	0861	b	解	xiè	keaH
應	0890	d	𨿳	yīng	'ing
應	0890	d	𨿳	yīng	'ingH
懋	1109	f	楙	mào	muwH
懌	0790	c	睪	yì	yek
懍	0668	d	稟	lǐn	limX
懖	0302	p	銽	kuò	kwat
懘	0315	f	滯	chì	tsyhejH
懟	0511	i	對	duì	drwijH
懠	0593	j	?	qí	dzej
懠	0593	j	?	qí	dzejH
懣	0183	g	滿	mèn	manX
懣	0183	g	滿	mèn	mwonH
懣	0183	g	滿	mèn	mwonX
懥	0415	d	?	zhì	tsyijH
懥	0415	d	?	zhì	trhijH
懦	0134	e	需	nuò	nyu
懦	0134	e	需	nuò	nwaH
懫	0493	d	?	zhì	tsyijH
懫	0493	d	?	zhì	trhijH
懬	0707	r	廣	kuàng	khwangX
懬	0707	r	廣	kuàng	khwangH
懬	0707	r	廣	kuàng	khangX
懮	1071	e	?	yǒu	'juwX
懰	1114	b'	?	liú	ljuwX
懱	0311	g	蔑	miè	met
懲	0891	b	徴	chéng	dring
懷	0600	c	褱	huái	hweaj
懸	0248	b	縣	xuán	hwen
懼	0096	i	瞿	jù	gjuH
懽	0158	k	雚	huān	xwan
懾	0638	d	聶	shè	tsyep
懿	0395	d	壹	yì	'ijH
戀	0178	m	䜌	liàn	ljwenH
戁	0152	h	難	nǎn	nraenX
戄	0778	e	?	jué	xjwak
戇	1015	e	贛	zhuàng	xuwngH
戈	0007	a	戈	gē	kwa
戉	0303	a	𠄌	yuè	hjwot
戊	1231	a	戊	wù	muwH
戌	1257	h	一	xū	swit
戍	1243	c	戍	shù	syuH
戎	1013	a	𢦦	róng	nyuwng
成	0818	a	丁	chéng	dzyeng
我	0002	a	我	wǒ	ngaX
戒	0990	a	戒	jiè	keajH
戔	0155	a	戔	jiān	dzen
戔	0155	a	戔	jiān	dzan
戕	0727	g	爿	qiāng	dzjang
或	0929	a	或	huò	hwik
或	0929	a	或	huò	hwok
戚	1031	f	尗	qī	tshek
戛	0504	a	戛	jiá	keat
戟	0785	b	𢧢	jǐ	kjaek
戠	0920	a	音	zhī	tsyik
戡	0658	q	甚	kān	khom
戢	0688	e	咠	jí	tsrip
戣	0605	f	癸	kuí	gwij
戩	0378	h	晉	jiǎn	tsinX
截	0310	b	雀	jié	dzet
戮	1069	v	翏	lù	ljuwk
戰	0147	r	單	zhàn	tsyenH
戲	0022	b	䖒	xì	xjeH
戴	0943	e'	𢦒	dài	tojH
戶	0053	a	戶	hù	huX
戹	0844	a	乙	è	'eak
戺	0967	k	巳	shì	dzriX
戾	0532	a	戾	lì	lejH
戾	0532	a	戾	lì	let
房	0740	y	方	fáng	bjang
所	0091	a	戸	suǒ	srjoX
所	0091	a	戸	suǒ	xjoX
扁	0246	a	扁	biǎn	penX
扃	0842	d	冋	jiōng	kweng
扃	0842	d	冋	jiōng	kwengX
扆	0550	g	衣	yǐ	'jɨjX
扇	0212	a	扇	shàn	syenH
扈	0053	c	戸	hù	huX
扉	0579	d	非	fēi	pjɨj
手	1101	a	手	shǒu	syuwX
才	0943	a	才	cái	dzoj
扐	0928	d	力	lè	lok
扑	1210	e	菐	pū	phuwk
扔	0945	f	乃	rēng	nying
扞	0139	q	干	gǎn	hanH
扡	0004	d'	?	tuō	tha
扢	0517	i	?	gǔ	xjɨt
扣	0110	e	口	kòu	khuwX
扣	0110	e	口	kòu	khuwH
扤	0487	b	兀	wù	ngwot
扮	0471	l	分	bàn	bjunX
扮	0471	l	分	bàn	bjun
扱	1254	b	及	xī	tsrheap
扳	0262	m	?	bān	paen
扶	0101	f	夫	fú	phu
扶	0101	f	夫	fú	pju
扶	0101	f	夫	fú	bju
批	0566	a'	比	pī	bet
批	0566	a'	比	pī	phej
扺	0867	e	氏	zhǐ	tsyeX
扼	0844	f	厄	è	'eak
承	0896	c	承	chéng	dzying
技	0864	k	支	jì	gjeX
抃	0220	c	卞	biàn	bjenH
抆	0475	h	?	wěn	mjunH
抆	0475	h	?	wěn	mjunX
抈	0306	g	月	yuè	ngjwot
抉	0312	j	夬	jué	'wet
把	0039	b	巴	bǎ	paeX
抌	0656	i	冘	dǎn	tomX
抍	0897	e	?	zhěng	sying
抍	0897	e	?	zhěng	tsyingX
抎	0460	d	云	yǔn	hjunX
抑	0915	a	抑	yì	'ik
抒	0083	g	予	shū	zyoX
抓	1111	c	爪	zhuā	tsraew
抓	1111	c	爪	zhuā	tsraewH
抓	1111	c	爪	zhuā	tsraewX
抔	0999	j	不	póu	buw
投	0130	c	殳	tóu	duw
抗	0698	b	亢	kàng	khangH
折	0287	a	㪿	zhé	dzyet
折	0287	a	㪿	zhé	tsyet
折	0287	a	㪿	zhé	dejH
披	0025	j	皮	pī	phjeH
披	0025	j	皮	pī	phje
抯	0046	j	且	zhā	tsjaeX
抯	0046	j	且	zhā	tsrae
抯	0046	j	且	zhā	dzjaeX
抱	1113	j	包	bào	bawX
抴	0339	e	世	yè	yet
抴	0339	e	世	yè	yejH
抵	0590	g	氐	dǐ	tejX
抶	0402	e	失	chì	trhit
押	0629	h	甲	yā	'aep
抽	1079	f	由	chōu	trhjuw
拂	0500	h	弗	fú	phjut
拄	0129	e	?	zhǔ	trjuX
拇	0947	g	母	mǔ	muwX
拈	0618	o	占	niān	nem
拉	0694	l	立	lā	lop
拊	0136	g	付	fǔ	phjuX
拌	0181	e	半	bàn	phan
拍	0782	m	白	pāi	pak
拍	0782	m	白	pāi	phaek
拏	0094	b'	奴	ná	nrae
拑	0606	h	甘	qián	gjem
拒	0095	i	巨	jù	kjuX
拒	0095	i	巨	jù	gjoX
拓	0795	m	石	tà	thak
拔	0276	h	犮	bá	beat
拔	0276	h	犮	bá	bajH
拔	0276	h	犮	bá	bat
拕	0004	i	它	tuō	thaH
拕	0004	i	它	tuō	tha
拖	0004	f'	?	tuō	thaH
拖	0004	f'	?	tuō	daX
拖	0004	f'	?	tuō	tha
拘	0108	p	句	jū	gju
拘	0108	p	句	jū	kju
拘	0108	p	句	jū	kuw
拙	0496	i	出	zhuō	tsywet
拚	0220	d	弁	pàn	pjunH
拚	0220	d	弁	pàn	phjon
招	1131	l	召	zhāo	tsyew
拜	0328	a	?	bài	peajH
括	0302	h	𠯑	kuò	kwat
拭	0918	k	式	shì	syik
拮	0393	n	吉	jié	ket
拮	0393	n	吉	jié	kjit
拯	0896	i	丞	zhěng	tsyingX
拱	1182	e	共	gǒng	kjowngX
拲	1182	m	共	gǒng	kjowngX
拲	1182	m	共	gǒng	kjowk
拳	0226	g	𠔉	quán	gjwen
拸	0003	j	?	yí	trhjeX
拹	0639	d	劦	xié	xjaep
拾	0687	a	合	shí	dzyip
拾	0687	a	合	shí	gjaep
持	0961	p	寺	chí	dri
挂	0879	t	圭	guà	kweaH
挃	0413	f	至	zhì	trit
指	0552	f	旨	zhǐ	tsyijX
挈	0279	c	㓞	qiè	khet
按	0146	d	安	àn	'anH
挋	0377	g	臣	zhèn	tsyinH
挍	1166	h	?	jiào	kaewH
挎	0043	g	?	kuà	khu
挐	0094	c'	如	ná	nrae
挑	1145	o	兆	tiāo	thew
挑	1145	o	兆	tiāo	dewX
挑	1145	o	兆	tiāo	thaw
挨	0938	c	矣	āi	'ojX
挨	0938	c	矣	āi	'eajX
挩	0324	l	兌	tuō	thwat
挫	0012	c	𡋲	cuò	tswaH
振	0455	p	辰	zhèn	tsyin
振	0455	p	辰	zhèn	tsyinH
挶	1214	c	局	jū	kjowk
挹	0683	g	邑	yì	'jip
挺	0835	i	廷	tǐng	thengX
挺	0835	i	廷	tǐng	dengX
挻	0203	f	延	shān	syen
挾	0630	l	夾	xié	hep
捂	0058	k	?	wǔ	nguH
捄	1066	g	求	jiù	gjuw
捆	0420	d	?	kǔn	khwonX
捉	1219	e	足	zhuō	tsraewk
捊	1233	o	孚	póu	baew
捋	0299	e	寽	lǚ	lwat
捍	0139	i'	干	hàn	hanH
捎	1149	x	肖	shāo	sew
捐	0228	g	肙	juān	ywen
捕	0102	j'	甫	bǔ	buH
捘	0468	f'	夋	zùn	tswonH
捘	0468	f'	夋	zùn	tswojH
捥	0260	m	?	wàn	'wanH
捧	1197	b'	奉	pěng	phjowngX
捨	0048	c	舎	shě	syaeX
捫	0441	e	門	mén	mwon
捭	0874	r	卑	bǎi	peaX
据	0049	o'	居	jù	kjo
捲	0226	f	卷	juǎn	gjwen
捶	0031	i	𡍮	chuí	tsyweX
捷	0636	b	疌	jié	dzjep
捽	0490	b	卒	zuó	dzwot
掀	0443	y	欣	xiān	xjon
掃	1087	g	帚	sǎo	sawH
掃	1087	g	帚	sǎo	sawX
掄	0470	j	侖	lūn	lwon
掇	0295	h	叕	duō	trjwet
掇	0295	h	叕	duō	twat
授	1085	d	受	shòu	dzyuwH
掉	1126	m	卓	diào	dewX
掉	1126	m	卓	diào	dewH
掉	1126	m	卓	diào	nraewk
掊	0999	d'	咅	póu	puwX
掊	0999	d'	咅	póu	phuwX
掌	0725	j	尚	zhǎng	tsyangX
掎	0001	y	奇	jǐ	kjeX
排	0579	x	非	pái	beaj
掔	0368	d	臤	qiān	khen
掖	0800	l	夜	yē	yek
掘	0496	s	𡲬	jué	gjwot
掘	0496	s	𡲬	jué	gjut
掛	0879	u	卦	guà	kweaH
掜	0873	g	兒	yì	ngejX
掜	0873	g	兒	yì	ngejH
掞	0617	e	?	shàn	yemX
掠	0755	k	京	lüè	ljak
掠	0755	k	京	lüè	ljangH
採	0942	d	采	cǎi	tshojX
探	0666	f	罙	tàn	thom
掣	0335	c	制	chè	tsyhejH
掣	0335	c	制	chè	tsyhet
掤	0886	n	朋	bīng	ping
接	0635	e	妾	jiē	tsjep
控	1172	a'	空	kòng	khaewngH
控	1172	a'	空	kòng	khuwngH
推	0575	a'	隹	tuī	thwoj
推	0575	a'	隹	tuī	tsyhwij
掩	0614	b	奄	yǎn	'jaemX
掩	0614	b	奄	yǎn	'jemX
措	0798	x	㫺	cuò	tshuH
掫	0131	m	取	zhōu	tsju
掫	0131	m	取	zhōu	tsuw
掬	1017	c	匊	jū	kjuwk
揀	0185	e	柬	jiǎn	keanX
揃	0245	e	𣦃	jiǎn	tsjenX
揄	0125	p	兪	yú	yu
揄	0125	p	兪	yú	duwX
揆	0605	e	𤼩	kuí	gjwijX
揉	1105	b	柔	róu	nyuwH
揉	1105	b	柔	róu	nyuw
提	0866	n	是	tí	tejX
提	0866	n	是	tí	dzye
提	0866	n	是	tí	dej
插	0631	b	臿	chā	tsrheap
揔	1199	k	怱	zǒng	tsuwngX
揔	1199	k	怱	zǒng	tsuwng
揕	0658	e	?	zhèn	trimH
揖	0688	g	咠	yī	tsip
揖	0688	g	咠	yī	'jip
揗	0465	c	盾	xún	zwin
揗	0465	c	盾	xún	zywinH
揗	0465	c	盾	xún	zywinX
揚	0720	j	昜	yáng	yang
換	0167	f	奐	huàn	hwanH
揜	0615	b	弇	yǎn	'jemX
揠	0253	m	匽	yà	'eat
握	1204	f	屋	wò	'aewk
揣	0168	q	耑	chuāi	tsrhjweX
揣	0168	q	耑	chuāi	twaX
揣	0168	q	耑	chuāi	tsyhwenX
揥	0877	e	?	tì	tejH
揥	0877	e	?	tì	thejH
揩	0599	h	皆	kāi	keat
揫	1092	g	秌	jiū	dzjuw
揭	0313	n	曷	jiē	kjot
揭	0313	n	曷	jiē	gjot
揭	0313	n	曷	jiē	gjet
揭	0313	n	曷	jiē	khjet
揭	0313	n	曷	jiē	khjejH
揮	0458	i	軍	huī	xjwɨj
揱	1149	d'	削	xiāo	sraewk
揱	1149	d'	削	xiāo	sraew
揱	1149	d'	削	xiāo	sew
揲	0633	l	枼	dié	sep
揲	0633	l	枼	dié	syet
揲	0633	l	枼	dié	zyet
揲	0633	l	枼	dié	yep
援	0255	e	爰	yuán	hjwenH
援	0255	e	爰	yuán	hjwon
揵	0249	b	?	qián	gjonX
揵	0249	b	?	qián	kjonX
搆	0109	f	冓	gòu	kuwH
搉	1117	c	隺	què	kaewk
損	0435	a	員	sǔn	swonX
搏	0771	d	尃	bó	pak
搏	0771	d	尃	bó	pjuH
搔	1112	f	蚤	sāo	saw
搖	1144	g	䍃	yáo	yew
搚	1254	a	?	lā	lop
搜	1097	d	?	sōu	suwX
搜	1097	d	?	sōu	srjuw
搢	0378	f	㬜	jìn	tsinH
搤	0849	e	益	è	'eak
搯	1078	c	舀	tāo	thaw
搰	0486	c	骨	hú	khwot
搴	0143	d	寒	qiān	kjenX
搶	0703	g	倉	qiǎng	tshjang
搶	0703	g	倉	qiǎng	tsrhjangX
搶	0703	g	倉	qiǎng	tshjangX
搷	0375	s	?	tián	den
搹	0855	d	鬲	è	keak
摋	0319	g	?	sà	sat
摎	1069	g	翏	jiū	kjiw
摎	1069	g	翏	jiū	ljuw
摏	1192	c	?	chōng	syowng
摓	1197	v	?	féng	bjowng
摘	0877	p	啻	zhāi	treak
摘	0877	p	啻	zhāi	thek
摜	0159	c	貫	guàn	kwaenH
摝	1209	e	?	lù	luwk
摟	0123	d	婁	lǒu	luw
摡	0515	i	既	gài	xjɨjH
摡	0515	i	既	gài	kojH
摦	0043	m	瓠	huà	hwaeH
摧	0575	l'	崔	cuī	dzwoj
摩	0017	e	麻	mó	ma
摭	0804	e	庶	zhí	tsyek
摮	1130	g	?	áo	ngaw
摯	0685	k	𡙕	zhì	tsyijH
摰	0330	g	?	niè	nget
摲	0611	b	?	chàn	sraem
摳	0122	h	區	kōu	khju
摳	0122	h	區	kōu	khuw
摶	0231	p	專	tuán	dwan
摺	0690	-	習	zhé	tsyep
摻	0647	h	參	càn	sreamX
摻	0647	h	參	càn	sream
摽	1157	l	𤐫	biāo	phew
摽	1157	l	𤐫	biāo	phjiew
摽	1157	l	𤐫	biāo	phaew
摽	1157	l	𤐫	biāo	pjiew
摽	1157	l	𤐫	biāo	bjiewX
撅	0301	i	厥	juē	kjwejH
撊	0191	j	?	xiàn	haenX
撓	1164	s	堯	náo	xaw
撓	1164	s	堯	náo	nraewX
撕	0869	f	斯	sī	sej
撙	0430	l	?	zǔn	tswonX
撝	0027	l	爲	huī	xjwe
撞	1188	f'	童	zhuàng	draewngH
